[2026-05-21 15:56:53] Method-aligned SEQUENCE simulation started.
[2026-05-21 15:56:53] Repository root: /root/REAPER98632
[2026-05-21 15:56:53] Output directory: /root/REAPER98632/exports/manuscript_final_clean/simulation_validation
[2026-05-21 15:56:53] Simulation started: 320 planned runs
[2026-05-21 16:14:04] Simulation progress: 122/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=2 | timeout=240 sec | elapsed=17.2 min | ETA=27.9 min
[2026-05-21 16:14:10] Simulation progress: 123/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=3 | timeout=240 sec | elapsed=17.3 min | ETA=27.7 min
[2026-05-21 16:14:17] Simulation progress: 124/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=4 | timeout=240 sec | elapsed=17.4 min | ETA=27.5 min
[2026-05-21 16:14:24] Simulation progress: 125/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=5 | timeout=240 sec | elapsed=17.5 min | ETA=27.3 min
[2026-05-21 16:14:32] Simulation progress: 126/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=6 | timeout=240 sec | elapsed=17.7 min | ETA=27.2 min
[2026-05-21 16:14:40] Simulation progress: 127/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=7 | timeout=240 sec | elapsed=17.8 min | ETA=27 min
[2026-05-21 16:14:48] Simulation progress: 128/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=8 | timeout=240 sec | elapsed=17.9 min | ETA=26.9 min
[2026-05-21 16:14:56] Simulation progress: 129/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=9 | timeout=240 sec | elapsed=18 min | ETA=26.7 min
[2026-05-21 16:15:07] Simulation progress: 130/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=10 | timeout=240 sec | elapsed=18.2 min | ETA=26.7 min
[2026-05-21 16:15:18] Simulation progress: 131/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=11 | timeout=240 sec | elapsed=18.4 min | ETA=26.6 min
[2026-05-21 16:15:28] Simulation progress: 132/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=12 | timeout=240 sec | elapsed=18.6 min | ETA=26.5 min
[2026-05-21 16:15:37] Simulation progress: 133/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=13 | timeout=240 sec | elapsed=18.7 min | ETA=26.4 min
[2026-05-21 16:15:46] Simulation progress: 134/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=14 | timeout=240 sec | elapsed=18.9 min | ETA=26.2 min
[2026-05-21 16:15:56] Simulation progress: 135/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=15 | timeout=240 sec | elapsed=19.1 min | ETA=26.1 min
